,timestamp,rotation,position,actual_linear_vel,actual_angular_vel,wheel_names,wheel_effort,wheel_vel,commanded_linear,commanded_angular
0,4.724,[ 1.74972287e-07 -4.79033837e-07 -2.82776538e-01  9.59185816e-01],[-0.0681422  0.0756509  0.       ],[1.35443243 0.38819921 0.        ],0.5279116904325889,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.733,[ 9.06188408e-09 -1.02580283e-08 -2.85024814e-01  9.58520138e-01],[-0.08209223  0.09599454  0.        ],[-1.55000391  2.26040452  0.        ],0.5210564849820738,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.754,[ 1.51505413e-08 -3.82425737e-09 -2.89893926e-01  9.57058782e-01],[-0.08708257  0.08106459  0.        ],[-0.23763519 -0.7109497   0.        ],0.48416066138679964,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.764,[ 1.21665177e-07 -9.05148688e-08 -2.92715510e-01  9.56199576e-01],[-0.08386738  0.10324133  0.        ],[0.32151867 2.21767405 0.        ],0.5899009066405715,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.79,[-5.50094998e-08 -2.83232110e-07 -2.99233933e-01  9.54179780e-01],[-0.09236773  0.10032952  0.        ],[-0.32693652 -0.11199279  0.        ],0.5249378048844053,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.804,[ 1.86481261e-07 -6.00374174e-07 -3.06742056e-01  9.51792683e-01],[-0.06333911  0.09781372  0.        ],[ 2.07347295 -0.17970002  0.        ],1.1254973260896919,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.819,[ 3.69947811e-07 -2.76654581e-07 -3.09786750e-01  9.50806063e-01],[-0.07424059  0.0510682   0.        ],[-0.72676524 -3.11636768  0.        ],0.42674138017629965,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.829,[ 4.26966753e-08 -1.71499396e-07 -3.13034454e-01  9.49741771e-01],[-0.0719969   0.09017499  0.        ],[0.22436931 3.91067812 0.        ],0.6835294933624867,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.843,[ 4.05125460e-08 -1.44699751e-07 -3.19173526e-01  9.47696291e-01],[-0.12411669  0.10015501  0.        ],[-3.72284243  0.71285884  0.        ],0.9244119206205659,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.865,[ 4.04879523e-08 -1.38571369e-07 -3.24832659e-01  9.45771507e-01],[-0.08574974  0.12051817  0.        ],[1.74395245 0.92559812 0.        ],0.5434104773499542,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.881,[ 3.88266146e-08 -1.32065489e-07 -3.27477373e-01  9.44859021e-01],[-0.0774576   0.08719763  0.        ],[ 0.51825845 -2.08253362  0.        ],0.3497129944006598,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.9,[-4.02292505e-06  1.37996563e-06 -3.32719515e-01  9.43025834e-01],[-0.05396609  0.08221878  0.        ],[ 1.2363956  -0.26204496  0.        ],0.5845728988464166,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.914,[ 1.22255300e-07 -8.65385279e-08 -3.37686417e-01  9.41258670e-01],[-0.09193123  0.08380397  0.        ],[-2.71179596  0.11322822  0.        ],0.7531304563676736,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.934,[ 8.25244646e-08  7.39422236e-08 -3.43274053e-01  9.39235287e-01],[-0.05915218  0.08172876  0.        ],[ 1.63895251 -0.10376048  0.        ],0.5942715284565465,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.951,[ 7.20993788e-08 -4.34793420e-07 -3.46106571e-01  9.38195204e-01],[-0.09527436  0.06350224  0.        ],[-2.12483424 -1.07214825  0.        ],0.35499277348412217,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.963,[ 1.07626721e-07 -2.23880939e-07 -3.52191415e-01  9.35927993e-01],[-0.07260988  0.10034883  0.        ],[1.88870645 3.07054869 0.        ],1.0822522728726,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,4.98,[ 8.30777711e-08 -3.29325829e-07 -3.55321326e-01  9.34744219e-01],[-0.07105207  0.08430037  0.        ],[ 0.0916362  -0.94402695  0.        ],0.3936815614525576,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,5.005,[ 4.04690561e-08 -1.52406425e-07 -3.64065996e-01  9.31373153e-01],[-0.08055148  0.06484666  0.        ],[-0.37997631 -0.77814828  0.        ],0.749758236722518,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
0,5.021,[ 3.65251304e-08 -1.46071789e-07 -3.69401939e-01  9.29269717e-01],[-0.07674878  0.10113413  0.        ],[0.23766855 2.26796662 0.        ],0.7169469297894554,['' '' '' '' '' ''],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[0. 0. 0.],[ 0.  0. -1.]
